City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Kilindoni,TZ,-7.9139,39.6668,80.02,79,30,20.65,scattered clouds
335,Taman,RU,45.2117,36.7161,51.8,82,85,13.42,overcast clouds
336,Makakilo City,US,21.3469,-158.0858,84.2,48,75,5.75,broken clouds
337,Vestmannaeyjar,IS,63.4427,-20.2734,46.51,87,100,19.86,overcast clouds
338,Kidal,ML,18.4411,1.4078,85.95,7,0,6.53,clear sky
339,Les Cayes,HT,18.2,-73.75,78.89,75,24,7.27,few clouds
340,Kikwit,CD,-5.041,18.8162,70.56,98,100,4.0,heavy intensity rain
341,Chernyshevskiy,RU,63.0128,112.4714,25.38,95,87,8.7,overcast clouds
342,Barmer,IN,25.75,71.3833,78.22,43,1,10.83,clear sky
343,Kayattar,IN,8.95,77.8,82.72,69,95,5.39,overcast clouds
344,Berberati,CF,4.2612,15.7922,66.49,98,100,5.48,light rain
345,Abha,SA,18.2164,42.5053,64.4,67,20,4.61,few clouds
346,Kyra,RU,49.5776,111.9753,35.56,60,95,0.65,overcast clouds
347,Haapsalu,EE,58.9431,23.5414,37.0,81,100,21.99,overcast clouds
